team,disparity_ratio,first_off_adj_xg60,second_off_adj_xg60
usa,1.2689359266647204,2.720457225015446,1.9938885666716946
guatemala,1.2681027539550445,2.816957349137583,2.0713951829627897
saudi_arabia,1.243935732116743,2.2539010331758114,1.6619111582561112
france,1.2434580740785657,2.555588960291689,1.9052272839479898
uae,1.224743801738177,2.004366610409032,1.4865599136443075
iceland,1.2201569026764891,2.5803234024805106,1.9647472073635879
singapore,1.1696172608700401,2.6319891799436386,2.100299536436208
new_zealand,1.1457628955372585,2.4386953285401987,1.9784467650671065
peru,1.1215202579183023,2.3946710976973558,1.9852009299789186
panama,1.1193345536188788,2.5413798728125725,2.120438149698973
rwanda,1.1062318001515665,2.335607333312648,1.9613182002114233
uk,1.0989045074401274,2.72295278702549,2.327879350380085
india,1.0920046671545625,2.4372843029231457,2.081935793162844
serbia,1.059646998974235,2.8231616003336377,2.5142472474951845
south_korea,1.0460488833327555,2.721087105386645,2.4513001387823747
netherlands,1.024703603773793,2.136345549799308,1.9348424285144934
mexico,1.003514508644584,2.5707107745597644,2.4117076309459082
china,0.9908299008489487,2.5115704942665538,2.3848149991382233
pakistan,0.9897474815632401,2.9830360481914653,2.863936487597785
mongolia,0.9596862074626208,1.6590556081925851,1.5787479962633562
canada,0.9548464352726179,2.3784647874339617,2.3409395894166867
morocco,0.9387182753876864,2.3222332999252826,2.323834121282246
oman,0.934840158267663,2.48363682807032,2.506750254153295
brazil,0.9296664019957469,2.7050288592650524,2.759676905025366
philippines,0.9274211348428658,1.8552629349766625,1.8504535860518234
kazakhstan,0.9199573219711789,1.6824826628302971,1.6788703428385858
thailand,0.9170937484074693,2.814364087523858,2.9187855984309055
germany,0.902424166785511,2.1823920308051816,2.2683661199799126
indonesia,0.8940002309550737,1.8193835084398555,1.8851040698235402
vietnam,0.8831365326475423,2.0228513063459457,2.1405306615293886
ethiopia,0.8532164986895703,2.227584770974587,2.4608083638746647
switzerland,0.8292222809443034,1.72398498692679,1.9290384273846901
